url,POSTING_CARD_GALLERY,CARD_FAV,price_value,price_type,expenses_value,expenses_type,location,POSTING_CARD_FEATURES,description,CARD_VIEWPHONE,CARD_WHATSAPP,CARD_CONTACT_MODAL,address,square_meters_area,rooms,phone,bedrooms,bathrooms,parking
/propiedades/clasificado/veclphpa-duena-vende-ph-3-ambientes.-55224347.html,9,,61000,USD,,,"Mar del Plata, Buenos Aires Costa Atlántica",57 m² tot.3 amb.2 dorm.1 baño,"Inmueble retasado. Se vende ph 3 ambientes en Funes al 2900. Barrio San Jose. Descubre este encantador ph de 3 ambientes ubicado en una hermosa zona del barrio San Jose, en Mar del Plata. Esta residencia, reciclada, refaccionada en excelente estado, cuenta con dos habitaciones, perfectas para disfrutar del descanso y la tranquilidad. Baño y cocina comedor integrada, todos los ambientes dan al exterior. El espacio incluye un generoso patio, donde recibe sol, luz durante todo el dia, con un lavadero semicubierto con loza, un largo pasillo, con espacio de guardado. Este terreno cuenta con solo 4 unidades todas dan a la calle, este ph es por pasillo al fondo con entrada individual sin compartir nada. Digno de visitar, techo tejas. Situado a dos cuadras de calle San juan. A 8 de av Colon y a 12 de av Independencia. Con la fortuna de estar en la zon de complejo Universitario, solo a tres cuadras. Ubicacion inmejorable. No paga expensas. Sin intermediarios,. Usd 61. 000. - retasado, libre de gastos ; ni comisiones ni escrituracion. - apto profesional. Contacto dueña - Ver datos. No te pierdas de conocer este hermoso ph. Puede ser tu proximo Hogar!",,,Contactar,Dean funes 2900,57,3,1165821028,2,1,
/propiedades/clasificado/veclphpa-dueno-directo-vende-duplex-a-estrenar-55372760.html,7,,80000,USD,,,"La Cieneguita, Mendoza",115 m² tot.2 dorm.2 baños1 coch.,"Ubicado en zona residencial totalmente nueva, loteo con centros comercial y barrios privados aledaños. Excelente diseño y terminaciones 75 m2 cubiertos. 115 m2 de terreno. Dos dormitrios. Baño completo en planta alta + Toillete en Planta Baja. Estar comedor integrado con grandes ventanales. Churrasquera + galeria exterior, jardin propio. Cochera pergolada. Se entrega con muebles de cocina y placares de alta prestacion. Pisos y revestimientos porcelanato alto transito. Se entrega con portón vehicular, puerta de acceso y rejas metálicas en todas las aberturas. Dueño vende directo - no permuta",,,Contactar,Galagurri J.,115,,1165821028,2,2,1
/propiedades/clasificado/veclphpa-oportunidad!dueno-vende-hermoso-ph-51853659.html,21,,129000,USD,,,"Villa Luro, Capital Federal",100 m² tot.3 amb.2 dorm.1 baño1 coch.,"Tomamos por parte de pago o permuta propiedad en traslasierra cordoba. villa luro, exelente ph 3 ambientes 100 metros totales, la propiedad se encuentra alquilada con contrato y buena rentabilidad! Entrada independiente, garage portón automático, living comedor con persianas automáticas hogar A gas, A/A frio calor, cocina, antebaño, baño, 2 habitaciones, A/A frio calor Y estufa tiro balanceado, terraza toda la superficie con quincho Y parrilla a 150 metros de estación de estación villa Luro línea Sarmiento, 300 metros de avenida Rivadavia y Lope de Vega, 400 metros de metrobus avenida Juan B Justo. $$129. 000 dólares. Consultas O coordinar visita! Llamar al Ver datos. marcelo",,WhatsApp,Contactar,Bacacay 5148,100,3,1165821028,2,1,1
/propiedades/clasificado/veclphpa-dueno-vende-casa-ph-centro-55234730.html,15,,160000,USD,,,"San Miguel de Tucumán, Tucuman",480 m² tot.5 amb.3 dorm.2 baños,"3 Dormitorios con placares. Hall de distribución. Living comedor. Escritorio. Cocina comedor con muebles de sistema de amortiguación Blumotion. Lavadero separado. Baño y antebaño doble, completos y con zonas de guardado. Baño completo de servicio. Patio interno con toldo. Quincho con asador y toldos. Jardin con piscina y solarium. Amoblado: 5 aires acondiconados. 6 ventiladores de techo. 3 calefactores. Freezer grande horizontal. Juego de comedor y aparadores antiguos siguiendo el estilo de la casa. Juegos de comedor diario y quincho, entre otros.",,WhatsApp,Contactar,Juan Crisóstomo Álvarez 44,480,5,1165821028,3,2,
/propiedades/clasificado/veclphpa-dueno-vende-casa-de-pasillo-en-cafferata-1500-55618381.html,5,,38000,$,,,"Echesortu, Distrito Centro",40 m² tot.1 dorm.1 baño,"Dueño vende casa de Pasillo en Cafferata 1500. 1 dormitorio, amplio comedor, cocina, baño, patio. Sup. : 40, 68 m2. Muy buen estado. Alquilado. 38. 000. - dólares. Ideal inversores.",,,Contactar,Cafferata 1500,40,,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-vende-casa-de-pasillo-en-lavalle-2400-55618363.html,5,,36000,$,,,"Cinco Esquinas, Distrito Oeste",49 m² tot.2 dorm.1 baño,"Dueño vende casa de pasillo en Lavalle 2400. 2 dormitorios, living comedor, amplia cocina, baño, patio, terraza con altillo. Sup. : 49, 24 m2. Muy buen estado, muy bien iluminado. Alquilado. 36. 000. - dólares. Ideal inversores.",,,Contactar,Lavalle 2400,49,,1165821028,2,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-oportunidad-de-inversion-excelente-zona-55006858.html,11,,32000,USD,,,"Lanús, Lanús",70 m² tot.,"Excelente inversion -J. D. Peron 1800 - listo para escriturar, subdividido, se vende A unidad funcional 3-titular directo, sin intermediarios ni comisiones. *Se aceptan permutas por propiedad de más. ambientes. * usd 32. 000. Venta en Valentin Alsina, Lanus. ideal para inversion - fotos actuales - se puede entrar A vivir, cañerias nuevas, necesita algunos pequeños arreglos como E ve en la foto. 1 dormitorio. 3 ambientes. Bueno. ph interno 3 ambientes amplios en pa - oportunidad. se ingresa X garage descubierto compartido. el departamento consta de. cocina comedor. living en desnivel con escalera que accede A un pequeño cuartito, patio terraza propia. dormitorio. baño completo. estar con escalera caracol. patio Y terraza propia. U$S 32. 000. -libre de gastos para el dueño vendedor. oportunidad- La información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido.",,WhatsApp,Contactar,Avenida Presidente Teniente General Juan Domingo Perón,70,,1165821028,,,
/propiedades/clasificado/veclphpa-dueno-vende-ph-2-ambientes-sin-comision-y-sin-expensas-55149829.html,18,,125000,USD,,,"Almagro Sur, Almagro",60 m² tot.2 amb.1 dorm.1 baño,"La propiedad se encuentra ubicada sobre la calle Treinta y Tres Orientales 193, entre Belgrano e Hipólito Yrigoyen, en el barrio de Almagro lindante con Caballito en la Ciudad Autónoma de Buenos Aires. Es un ph A estrenar que se encuentra en un complejo de 4 phs reciclados completamente a nuevo. La propiedad original tiene protección histórica de la ciudad y se puso en valor potenciando diferentes elementos de la construcción original que data de 1920, como pisos de pinotea, techos de bovedilla, aberturas de madera, perfiles de la estructura y molduras de la fachada entre otras cosas. Esta unidad en particular, se trata de un ph de 2 pisos en planta baja al frente y consta de: 1 dormitorio que cuenta también con espacio para un escritorio, 1 baño completo, living, comedor y cocina. La unidad tiene amplios ventanales que le otorgan a todos los ambientes plena luz durante todo el día. planta baja: El frente de la propiedad está protegido con reja de hierro en la ventana y en el acceso principal. Cuenta con un pequeño hall de ingreso que comparte únicamente con otra unidad. Al ingresar nos da la bienvenida un amplio living comedor con gran ventanal con rejas hacia el frente, con piso de pinotea original. Comedor diario con terminación de hormigón a la vista, amplio lugar para ubicar mesa, sillas, muebles de guardado e integrado a la cocina. Mesada en L con bacha, muebles de bajo mesada y estantes totalmente en madera, realizados a medida para estrenar y distribuidos para instalar diferentes electrodomésticos. Cuenta con espacio para Spar, cocina a gas y lugar especial para colocar heladera. Sobrio revestimiento de porcelanato de primera línea en la pared. Además cuenta con un sector especial para lavadero, donde se encuentra la conexión para el lavarropas. Escalera que nos lleva al primer piso. El baño es muy cómodo y viene con vanitory, espejo y artefactos de luz incluidos. Primer piso: Éste es el sector íntimo de la propiedad. En él se encuentra el dormitorio con su placard con puertas corredizas y su interior con cajones y espacio para colgar. Además en esta planta hay un espacio de escritorio para lugar de trabajo. La propiedad tiene termotanque eléctrico para agua sanitaria y aire acondicionado frío/calor de 6000 kcal instalado. La venta es dueño directo sin comisión Y sin expensas. El mobiliario es ilustrativo, no están a la venta. Superficie Cubierta: 60 m2 aprox. Barrio: La propiedad se encuentra en la calle Treinta y Tres Orientales 193 entre Belgrano e Hipólito Yrigoyen en Almagro, en la Ciudad Autónoma de Buenos Aires. Este barrio pertenece a la Comuna 5. El barrio se caracteriza por ser tranquilo, de casas bajas y en pleno desarrollo. Cerca del Parque Rivadavia, confitería Las Violetas, Parque Centenario, Basílica María Auxiliadora, zona comercial de Acoyte y Rivadavia, polo gastronómico de Pedro Goyena, Club Italiano, Comisaría Comunal 5 y diversos negocios de cercanía. A tan sólo 3 cuadras de la esquina de Av. . La Plata y Av. Rivadavia. Zona de amplia conectividad con el resto de la ciudad y zonas del Gran Buenos Aires. Paradas de colectivos: líneas 132, 26, 2, 103, 8, 5, 56, 65, 15, 85, 84, 88, 160, 128, 181, 112, entre otras. Subte: Río de Janeiro (Línea A). - Esta propiedad cuenta con plano digital, tour virtual 360° y video recorrido a pie. - Los metros aquí publicados son aproximados. Los reales surgen de la escritura o plano de mensura. Nota: La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo, los importes de impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso.",,WhatsApp,Contactar,Treinta y Tres Orientales 193,60,2,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-vende-duplex-o-permuta-por-dto.-en-caba.-55499723.html,16,,50000,USD,,,"San Bernardo, Buenos Aires Costa Atlántica",75 m² tot.3 amb.2 dorm.2 baños1 coch.,"3. amb. Impecable. 2 baños. Patio/cochera. Centro. 200m. Del mar. Excelente estado. Totalmente amueblado. Nunca alquilado, o permuto por departamento /ph en Caba mismo valor.",,,Contactar,Mensajerias 307,75,3,1165821028,2,2,1
/propiedades/clasificado/veclphpa-dueno-vende-ph-2-ambientes-parque-avellaneda.-55492471.html,10,,60000,USD,,,"Parque Avellaneda, Capital Federal",60 m² tot.2 amb.,"Dueño vende ph, sin gastos, ubicado en Parque Avellaneda. Guardia Nacional 1500, entre Tandil y Remedios. A una cuadra de Av Directorio. Totalmente pintado y arreglado usd 60. 000 o 30. 000 y 60 cuotas de usd 890, con todos los servicios funcionando. Con escritura e hipoteca. Y a refaccionar usd 55. 000 o 25. 000 al contado y 60 cuotas de 890. Consta de dormitorio con placard, living, cocina, baño y patio. Sin expensas",,WhatsApp,Contactar,Guardia Nacional,60,2,1165821028,,,
/propiedades/clasificado/veclphpa-dueno-vende-precioso-y-ampli-ph.-muy-luminoso-55471060.html,22,,70,USD,,,"Lanús Este, Lanús",110 m² tot.4 amb.3 dorm.1 baño,"Ph recién pintado muy luminoso. La propiedad cuenta con una amplia cocina, baño, living y comedor (que puede ser un dormitorio más ya que se encuentra separado), posee un altillo que podría ser utilizado como oficina o play room y patio con instalación para lavarropas en la planta baja y dos amplios y luminosos dormitorios en planta alta, además de una cómoda terraza de uso exclusivo. La propiedad cuenta en la planta baja con pisos de parquet de roble y se entrega recién pintada.",,WhatsApp,Contactar,Ayacucho 940,110,4,1165821028,3,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-de-3-ambientes.-semicentrico.-tandil-51587438.html,25,,78000,USD,,,"Centro, Tandil",88 m² tot.3 amb.2 dorm.1 baño,"Dueño vende hermosa casa reciclada. Es un ph totalmente independiente. Sobre calle 11 de septiembre en el barrio La Estacion. Ciudad de Tandil. . Esta casa cuenta con 3 ambientes: Living comedor, cocina separada y espaciosa, dos dormitorios, baño muy amplio con bañera. Un patio delantero embaldozado de 5x4 mt2. La vivienda es totalmente privada, independiente y a la calle. Cuenta con todos los servicios. Excelente ubicación. A 11 cuadras del centro, cerca del hospital, supermercados principales y comisaría. Micros al centro, terminal de omnibus y campus universitario en la cuadra. Zona tranquila. No posee entrada para auto. . Superficie cubierta 66mt2 descubierta 20mt2. . Se vende dueño directo en dolares Ver datos. Gastos de escribania a pagar entre las dos partes. Lista para escriturar. Consultas solo por whatsapp Ver datos. No se aceptan llamadas.",,WhatsApp,Contactar,11 de Septiembre,88,3,1165821028,2,1,
/propiedades/clasificado/veclphpa-dueno-vende-propiedad-ubicada-en-barrio-unimev-ii-55378701.html,7,,86000,USD,,,"Unimev, Guaymallén",221 m² tot.2 coch.,"La propiedad se encuentra ubicada a metros de la plaza Unimev, consta de una casa en planta baja y dos departamentos en planta alta. La casa cuenta con cochera pasante doble, un toilet, un baño, dos dormitorios, una sala de estar, cocina-comedor y patio con churrasquera. Cada departamento en planta alta cuenta con cocina-comedor, sala de estar, un dormitorio y un baño. La propiedad se encuentra lista para escriturar y es apta para crédito hipotecario. -Superficie terreno: 7, 10m x 22, 75m / total: 161, 5m2. -Superficie cubierta Total: 221m2. -Superficie Planta Baja: 130m2. -Superficie Planta Alta: Dpto A: 53m2; Dpto B: 38m2",,,Contactar,de Guaymallen,221,,1165821028,,,2
/propiedades/clasificado/veclphpa-dueno-vende-ph-2-ambientes-sin-comision-54470829.html,19,,115000,USD,,,"Almagro Sur, Almagro",80 m² tot.2 amb.1 dorm.1 baño,"La propiedad se encuentra ubicada sobre la calle Fortunato Devoto 522, entre Agrelo y México en el barrio de Almagro lindante con Caballito en la Ciudad Autónoma de Buenos Aires. Es un ph que se encuentra en un complejo de 3 phs en total. Ph en planta baja al frente con excelente orientación. Esta unidad en particular, se trata de un ph en 1 planta al frente con posibilidad de convertirlo en un 3 ambientes como era originalmente. Actualmente consta de: 1 dormitorio, 1 baño, living, comedor, cocina muy amplios y luminosos y un patio con sector de lavadero. La unidad tiene amplios ventanales que le otorgan a todos los ambientes plena luz durante todo el día. Al ingresar nos da la bienvenida un amplio hall que distribuye a todos los ambientes de la casa. El living comedor tiene 2 grandes ventanales al frente y orientación norte. Baño amplio con gran mesada y espejo. Cocina integrada que da al patio, amplio lugar para ubicar mesa, sillas, muebles de guardado e integrado a la cocina. Cuenta con espacio para Spar, cocina a gas y lugar especial para colocar heladera. En esta misma planta se encuentra la habitación con amplio placard integrados y ventanas al patio. La venta es dueño directo sin comisión Y sin expensas. Superficie Cubierta: 66 m2 aprox. Superficie Descubierta: 14 m2 aprox. Superficie Total: 88 m2 aprox. Barrio: La propiedad se encuentra en la calle Fortunato Devoto 522 entre Agrelo y México en Almagro, en la Ciudad Autónoma de Buenos Aires. Este barrio pertenece a la Comuna 5. El barrio se caracteriza por ser tranquilo, de casas bajas y en pleno desarrollo. Cerca del Parque Rivadavia, confitería Las Violetas, Parque Centenario, Basílica María Auxiliadora, zona comercial de Acoyte y Rivadavia, polo gastronómico de Pedro Goyena, Club Italiano, Comisaría Comunal 5 y diversos negocios de cercanía. A tan sólo 3 cuadras de la esquina de Av. . La Plata y Av. Rivadavia. Zona de amplia conectividad con el resto de la ciudad y zonas del Gran Buenos Aires. Paradas de colectivos: líneas 132, 26, 2, 103, 8, 5, 56, 65, 15, 85, 84, 88, 160, 128, 181, 112, entre otras. Subte: Río de Janeiro (Línea A). -El mobiliario es ilustrativo, no está a la venta. - Los metros aquí publicados son aproximados. Los reales surgen de la escritura o plano de mensura. Nota: La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo, los importes de impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso.",,,Contactar,Pasaje Fortunato Devoto 522,80,2,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-al-frente-independiente-a-refaccionar-55321234.html,11,,185000,USD,,,"Villa Urquiza, Capital Federal",116 m² tot.4 amb.3 dorm.1 baño,PH al frente independiente en la mejor ubicación de Urquiza. Consta de jardín al frente. En p. b hall de entrada living comedor cocina. Baño dos dormitorios patio lavadero y parrilla cubierto. P. Alta dormitorio,,WhatsApp,Contactar,Blanco Encalada 5533,116,4,1165821028,3,1,
